amount,card_name,is_foil,is_pinned,set_id,set_code,collector_number,language,condition,comment
1,"""Rumors of My Death . . .""",0,0,"","","","","",""
1,"Abandoned Sarcophagus",0,0,"","","","","",""
2,"Abrade",0,0,"","","","","",""
1,"Abrupt Decay",0,0,"","","","","",""
1,"Abundance",0,0,"","","","","",""
1,"Abundant Growth",0,0,"","","","","",""
1,"Abyssal Persecutor",0,0,"","","","","",""
1,"Abzan Banner",0,0,"","","","","",""
1,"Abzan Charm",0,0,"","","","","",""
1,"Abzan Falconer",0,0,"","","","","",""
1,"Academy Elite",0,0,"","","","","",""
1,"Accelerate",0,0,"","","","","",""
1,"Accomplished Automaton",0,0,"","","","","",""
1,"Accursed Horde",0,0,"","","","","",""
1,"Accursed Spirit",0,0,"","","","","",""
5,"Acidic Slime",0,0,"","","","","",""
1,"Acolyte of Affliction",0,0,"","","","","",""
1,"Acolyte's Reward",0,0,"","","","","",""
2,"Acrobatic Maneuver",0,0,"","","","","",""
2,"Act of Heroism",0,0,"","","","","",""
2,"Act of Treason",0,0,"","","","","",""
1,"Adamant Will",0,0,"","","","","",""
1,"Adarkar Valkyrie",0,0,"","","","","",""
2,"Adeliz, the Cinder Wind",0,0,"","","","","",""
1,"Adorable Kitten",0,0,"","","","","",""
1,"Adorned Pouncer",0,0,"","","","","",""
2,"Advent of the Wurm",0,0,"","","","","",""
1,"Adventurous Impulse",0,0,"","","","","",""
1,"Aegis Angel",0,0,"","","","","",""
1,"Aegis of the Gods",0,0,"","","","","",""
1,"Aeon Chronicler",0,0,"","","","","",""
1,"Aeon Engine",0,0,"","","","","",""
1,"Aerial Responder",0,0,"","","","","",""
1,"Aerie Mystics",0,0,"","","","","",""
1,"Aether Gale",0,0,"","","","","",""
1,"Aether Hub",0,0,"","","","","",""
2,"Aether Tradewinds",0,0,"","","","","",""
2,"Aethermage's Touch",0,0,"","","","","",""
1,"Aethersnipe",0,0,"","","","","",""
1,"Aethersphere Harvester",0,0,"","","","","",""
1,"Agadeem Occultist",0,0,"","","","","",""
1,"Agent of Acquisitions",0,0,"","","","","",""
1,"Aggressive Mining",0,0,"","","","","",""
1,"Aggressive Urge",0,0,"","","","","",""
1,"Agrus Kos, Wojek Veteran",0,0,"","","","","",""
1,"Ahn-Crop Champion",0,0,"","","","","",""
1,"Ahn-Crop Invader",0,0,"","","","","",""
2,"Aid the Fallen",0,0,"","","","","",""
2,"Aim High",0,0,"","","","","",""
2,"Ainok Survivalist",0,0,"","","","","",""
1,"Air Servant",0,0,"","","","","",""
1,"Ajani's Chosen",0,0,"","","","","",""
1,"Ajani's Presence",0,0,"","","","","",""
2,"Ajani's Pridemate",0,0,"","","","","",""
1,"Ajani, Adversary of Tyrants",0,0,"","","","","",""
1,"Ajani, the Greathearted",0,0,"","","","","",""
3,"Akoum Refuge",0,0,"","","","","",""
3,"Akroan Crusader",0,0,"","","","","",""
1,"Akroan Hoplite",0,0,"","","","","",""
3,"Akroan Horse",0,0,"","","","","",""
2,"Akroma's Vengeance",0,0,"","","","","",""
1,"Akroma, Angel of Fury",0,0,"","","","","",""
1,"Akroma, Angel of Wrath",0,0,"","","","","",""
1,"Alchemist's Greeting",0,0,"","","","","",""
1,"Alchemist's Refuge",0,0,"","","","","",""
1,"Aleatory",0,0,"","","","","",""
1,"Alela, Artful Provocateur",0,0,"","ELD","","","",""
1,"Alexi's Cloak",0,0,"","","","","",""
1,"Alexi, Zephyr Mage",0,0,"","","","","",""
1,"Alirios, Enraptured",0,0,"","","","","",""
1,"All That Glitters",0,0,"","ELD","","","",""
1,"Alley Evasion",0,0,"","","","","",""
4,"Allied Strategies",0,0,"","","","","",""
1,"Alloy Myr",0,0,"","","","","",""
1,"Allure of the Unknown",0,0,"","","","","",""
1,"Alms of the Vein",0,0,"","","","","",""
1,"Alpha Brawl",0,0,"","","","","",""
1,"Alpine Moon",0,0,"","","","","",""
1,"Alseid of Life's Bounty",0,0,"","","","","",""
1,"Altar of Dementia",0,0,"","","","","",""
1,"Altar of the Brood",0,0,"","","","","",""
2,"Altar of the Pantheon",0,0,"","","","","",""
2,"Altar's Reap",0,0,"","","","","",""
1,"Altered Ego",0,0,"","","","","",""
2,"Amaranthine Wall",0,0,"","","","","",""
2,"Ambition's Cost",0,0,"","","","","",""
1,"Ambuscade Shaman",0,0,"","","","","",""
1,"Aminatou's Augury",0,0,"","","","","",""
1,"Aminatou, the Fateshifter",0,0,"","C18","","","",""
1,"Ampryn Tactician",0,0,"","","","","",""
1,"Anaba Shaman",0,0,"","","","","",""
1,"Anathemancer",0,0,"","","","","",""
2,"Anax and Cymede",0,0,"","","","","",""
1,"Anax, Hardened in the Forge",0,0,"","","","","",""
1,"Ancestor's Chosen",0,0,"","","","","",""
1,"Ancestral Blade",0,0,"","ELD","","","",""
1,"Ancient Amphitheater",0,0,"","","","","",""
1,"Ancient Animus",0,0,"","","","","",""
5,"Ancient Den",0,0,"","","","","",""
1,"Ancient Excavation",0,0,"","","","","",""
1,"Ancient Stone Idol",0,0,"","","","","",""
1,"Ancient Tomb",0,0,"","","","","",""
1,"Angel of Despair",0,0,"","GPT","","","",""
1,"Angel of Finality",0,0,"","","","","",""
1,"Angel of Sanctions",0,0,"","","","","",""
1,"Angel of Serenity",0,0,"","","","","",""
1,"Angelic Chorus",0,0,"","","","","",""
1,"Angelic Exaltation",0,0,"","ELD","","","",""
2,"Angelic Gift",0,0,"","","","","",""
2,"Angelic Renewal",0,0,"","","","","",""
3,"Anger",0,0,"","","","","",""
1,"Angler Turtle",0,0,"","","","","",""
1,"Angrath's Marauders",0,0,"","","","","",""
1,"Angrath's Rampage",0,0,"","","","","",""
1,"Angrath, Captain of Chaos",0,0,"","","","","",""
1,"Animate Dead",0,0,"","","","","",""
1,"Animate Library",0,0,"","","","","",""
1,"Animating Faerie // Bring to Life",0,0,"","ELD","","","",""
1,"Animist's Awakening",0,0,"","","","","",""
1,"Anje Falkenrath",0,0,"","","","","",""
1,"Anje's Ravager",0,0,"","","","","",""
1,"Ankh of Mishra",0,0,"","","","","",""
1,"Annihilate",0,0,"","","","","",""
1,"Annihilating Fire",0,0,"","","","","",""
3,"Anointer Priest",0,0,"","","","","",""
2,"Anowon, the Ruin Sage",0,0,"","","","","",""
1,"Anthem of Rakdos",0,0,"","","","","",""
1,"Anticipate",0,0,"","","","","",""
1,"Anvilwrought Raptor",0,0,"","","","","",""
1,"Anya, Merciless Angel",0,0,"","","","","",""
1,"Apex Altisaur",0,0,"","","","","",""
1,"Apex Hawks",0,0,"","","","","",""
1,"Apex of Power",0,0,"","","","","",""
1,"Aphemia, the Cacophony",0,0,"","","","","",""
1,"Aphotic Wisps",0,0,"","","","","",""
1,"Apocalypse Demon",0,0,"","","","","",""
1,"Apocalypse Hydra",0,0,"","","","","",""
9,"Apostle's Blessing",0,0,"","","","","",""
1,"Apothecary Geist",0,0,"","","","","",""
1,"Appeal // Authority",0,0,"","","","","",""
1,"Appetite for the Unnatural",0,0,"","","","","",""
2,"Applied Biomancy",0,0,"","","","","",""
1,"Apprentice Necromancer",0,0,"","","","","",""
1,"Approach of the Second Sun",0,0,"","","","","",""
1,"Aquastrand Spider",0,0,"","","","","",""
1,"Aquatic Incursion",0,0,"","","","","",""
1,"Arachnus Spinner",0,0,"","","","","",""
1,"Arachnus Web",0,0,"","","","","",""
1,"Arahbo, Roar of the World",0,0,"","","","","",""
1,"Arashin Foremost",0,0,"","","","","",""
1,"Arashin Sovereign",0,0,"","","","","",""
1,"Arasta of the Endless Web",0,0,"","","","","",""
1,"Arbiter of Knollridge",0,0,"","","","","",""
1,"Arbor Armament",0,0,"","","","","",""
1,"Arbor Elf",0,0,"","","","","",""
2,"Arboreal Grazer",0,0,"","","","","",""
1,"Arcane Adaptation",0,0,"","","","","",""
1,"Arcane Artisan",0,0,"","","","","",""
3,"Arcane Denial",0,0,"","","","","","(Sword)"
1,"Arcane Encyclopedia",0,0,"","","","","",""
1,"Arcane Laboratory",0,0,"","","","","",""
2,"Arcane Lighthouse",0,0,"","","","","",""
3,"Arcane Sanctum",0,0,"","","","","",""
1,"Arcane Signet",0,0,"","ELD","","","",""
1,"Arcane Teachings",0,0,"","","","","",""
2,"Arcanis the Omnipotent",0,0,"","","","","",""
1,"Arcanist's Owl",0,0,"","ELD","","","",""
2,"Arcbond",0,0,"","","","","",""
1,"Archaeomancer",0,0,"","","","","",""
1,"Archangel of Strife",0,0,"","","","","",""
1,"Archetype of Courage",0,0,"","","","","",""
2,"Archetype of Endurance",0,0,"","","","","",""
1,"Archetype of Finality",0,0,"","","","","",""
1,"Archetype of Imagination",0,0,"","","","","",""
1,"Archfiend of Spite",0,0,"","","","","",""
1,"Architect of the Untamed",0,0,"","","","","",""
1,"Archon of Falling Stars",0,0,"","","","","",""
1,"Archon of Sun's Grace",0,0,"","","","","",""
1,"Archon of the Triumvirate",0,0,"","","","","",""
1,"Archweaver",0,0,"","","","","",""
2,"Arena Athlete",0,0,"","","","","",""
1,"Arena Trickster",0,0,"","","","","",""
1,"Argentum Armor",0,0,"","","","","",""
1,"Arguel's Blood Fast // Temple of Aclazotz",0,0,"","","","","",""
1,"Arid Mesa",0,0,"","","","","",""
1,"Arixmethes, Slumbering Isle",0,0,"","","","","",""
1,"Arlinn's Wolf",0,0,"","","","","",""
1,"Arlinn, Voice of the Pack",0,0,"","","","","",""
1,"Armada Wurm",0,0,"","","","","",""
1,"Armament of Nyx",0,0,"","","","","",""
3,"Armillary Sphere",0,0,"","","","","",""
1,"Armistice",0,0,"","","","","",""
1,"Armored Ascension",0,0,"","","","","",""
1,"Armored Transport",0,0,"","","","","",""
1,"Armory Automaton",0,0,"","","","","",""
2,"Army of the Damned",0,0,"","","","","",""
3,"Arrest",0,0,"","","","","",""
1,"Arrester's Zeal",0,0,"","","","","",""
1,"Arterial Flow",0,0,"","","","","",""
1,"Artful Takedown",0,0,"","","","","",""
3,"Artificer's Assistant",0,0,"","","","","",""
2,"Artisan of Kozilek",0,0,"","","","","",""
1,"Artisan's Sorrow",0,0,"","","","","",""
1,"Aryel, Knight of Windgrace",0,0,"","","","","",""
1,"As Foretold",0,0,"","","","","",""
5,"Ash Barrens",0,0,"","","","","",""
1,"Ashes of the Abhorrent",0,0,"","","","","",""
1,"Ashiok's Skulker",0,0,"","","","","",""
1,"Ashiok, Dream Render",0,0,"","","","","",""
1,"Ashnod's Altar",0,0,"","","","","",""
2,"Aspect of Lamprey",0,0,"","","","","",""
1,"Aspect of Manticore",0,0,"","","","","",""
