amount,card_name,is_foil,is_pinned,set_id,set_code,collector_number,language,condition,comment,added
1,"""Rumors of My Death . . .""",,,"","","","","","",""
1,"Abandoned Sarcophagus",,,"","C20","","","","",""
1,"Abandoned Sarcophagus",,,"","","","","","",""
1,"Abhorrent Overlord",,,"","","","","","",""
3,"Abrade",,,"","","","","","",""
1,"Abrupt Decay",,,"","","","","","",""
1,"Absorb Vis",,,"","","","","","",""
1,"Abstract Iguanart",,,"","UND","","","","",""
1,"Abundance",,,"","","","","","",""
1,"Abundant Growth",,,"","","","","","",""
1,"Abyssal Persecutor",,,"","","","","","",""
1,"Abzan Ascendancy",,,"","C20","","","","",""
1,"Abzan Banner",,,"","","","","","",""
1,"Abzan Charm",,,"","C20","","","","",""
1,"Abzan Charm",,,"","","","","","",""
2,"Abzan Falconer",,,"","","","","","",""
1,"Abzan Guide",,,"","","","","","",""
1,"Academy Elite",,,"","","","","","",""
1,"Academy Journeymage",,,"","","","","","",""
1,"Accelerate",,,"","","","","","",""
1,"Accomplished Automaton",,,"","","","","","",""
1,"Accursed Horde",,,"","","","","","",""
1,"Accursed Spirit",,,"","","","","","",""
1,"Acidic Slime",,,"","C20","","","","",""
5,"Acidic Slime",,,"","","","","","",""
1,"Acolyte of Affliction",,,"","","","","","",""
1,"Acolyte's Reward",,,"","","","","","",""
1,"Acornelia, Fashionable Filcher",,,"","UND","","","","",""
3,"Acrobatic Maneuver",,,"","","","","","",""
2,"Act of Heroism",,,"","","","","","",""
4,"Act of Treason",,,"","","","","","",""
1,"Adamant Will",,,"","","","","","",""
1,"Adanto Vanguard",,,"","","","","","",""
1,"Adaptive Automaton",,,"","","","","","",""
1,"Adarkar Valkyrie",,,"","","","","","",""
2,"Adeliz, the Cinder Wind",,,"","","","","","",""
1,"Adorable Kitten",,,"","UND","","","","",""
1,"Adorable Kitten",,,"","","","","","",""
1,"Adorned Pouncer",,,"","","","","","",""
1,"Adriana, Captain of the Guard",,,"","C20","","","","",""
1,"Advent of the Wurm",,,"","","","","","",""
2,"Adventurous Impulse",,,"","","","","","",""
1,"Aegis Angel",,,"","","","","","",""
1,"Aegis of the Gods",,,"","","","","","",""
1,"Aeon Chronicler",,,"","","","","","",""
1,"Aeon Engine",,,"","","","","","",""
1,"Aerial Responder",,,"","C20","","","","",""
1,"Aerial Responder",,,"","","","","","",""
1,"Aerie Mystics",,,"","","","","","",""
1,"Aether Gale",,,"","","","","","",""
2,"Aether Hub",,,"","","","","","",""
1,"Aether Spellbomb",,,"","","","","","",""
2,"Aether Tradewinds",,,"","","","","","",""
1,"Aetherflux Reservoir",,,"","","","","","",""
1,"Aethermage's Touch",,,"","","","","","",""
1,"Aethersnipe",,,"","","","","","",""
1,"Aethersphere Harvester",,,"","","","","","",""
1,"Agadeem Occultist",,,"","","","","","",""
1,"Agent of Acquisitions",,,"","","","","","",""
1,"Aggressive Mammoth",,,"","","","","","",""
1,"Aggressive Mining",,,"","","","","","",""
1,"Aggressive Urge",,,"","","","","","",""
1,"Agitator Ant",,,"","C20","","","","",""
1,"Agony Warp",,,"","","","","","",""
1,"Agrus Kos, Wojek Veteran",,,"","","","","","",""
1,"Ahn-Crop Champion",,,"","","","","","",""
1,"Ahn-Crop Invader",,,"","","","","","",""
3,"Aid the Fallen",,,"","","","","","",""
2,"Aim High",,,"","","","","","",""
3,"Ainok Survivalist",,,"","","","","","",""
1,"Air Servant",,,"","","","","","",""
1,"Ajani Unyielding",,,"","C20","","","","",""
1,"Ajani, Adversary of Tyrants",,,"","","","","","",""
1,"Ajani, the Greathearted",,,"","","","","","",""
1,"Ajani's Chosen",,,"","","","","","",""
1,"Ajani's Presence",,,"","","","","","",""
3,"Ajani's Pridemate",,,"","","","","","",""
1,"Ajani's Welcome",,,"","","","","","",""
1,"Akim, the Soaring Wind",,,"","C20","","","","",""
4,"Akoum Refuge",,,"","","","","","",""
3,"Akroan Crusader",,,"","","","","","",""
2,"Akroan Hoplite",,,"","","","","","",""
1,"Akroan Horse",,,"","","","","","",""
1,"Akroan Sergeant",,,"","","","","","",""
1,"Akroma, Angel of Fury",,,"","","","","","",""
1,"Akroma, Angel of Wrath",,,"","","","","","",""
1,"Akroma, Angel of Wrath",,,"","C20","","","","",""
2,"Akroma's Vengeance",,,"","","","","","",""
1,"Akroma's Vengeance",,,"","C20","","","","",""
1,"Alabaster Mage",,,"","","","","","",""
1,"Alchemist's Gift",,,"","","","","","",""
1,"Alchemist's Greeting",,,"","","","","","",""
2,"Alchemist's Refuge",,,"","","","","","",""
1,"Alchemist's Vial",,,"","","","","","",""
1,"Aleatory",,,"","","","","","",""
1,"Alela, Artful Provocateur",,,"","ELD","","","","",""
1,"Alesha, Who Smiles at Death",,,"","","","","","",""
1,"Alesha, Who Smiles at Death",,,"","C20","","","","",""
1,"Alexander Clamilton",,,"","UND","","","","",""
1,"Alexi, Zephyr Mage",,,"","","","","","",""
1,"Alexi's Cloak",,,"","","","","","",""
1,"Alhammarret's Archive",,,"","","","","","",""
1,"Alirios, Enraptured",,,"","","","","","",""
1,"All Is Dust",,,"","","","","","",""
1,"All That Glitters",,,"","ELD","","","","",""
1,"Alley Evasion",,,"","","","","","",""
4,"Allied Strategies",,,"","","","","","",""
2,"Alloy Myr",,,"","","","","","",""
1,"Allure of the Unknown",,,"","","","","","",""
1,"Alms of the Vein",,,"","","","","","",""
1,"Alpha Brawl",,,"","","","","","",""
1,"Alseid of Life's Bounty",,,"","","","","","",""
1,"Altar of Dementia",,,"","","","","","",""
1,"Altar of the Brood",,,"","","","","","",""
2,"Altar of the Pantheon",,,"","","","","","",""
2,"Altar's Reap",,,"","","","","","",""
1,"Altered Ego",,,"","","","","","",""
2,"Amaranthine Wall",,,"","","","","","",""
1,"Ambassador Oak",,,"","","","","","",""
2,"Ambition's Cost",,,"","","","","","",""
1,"Ambition's Cost",,,"","C20","","","","",""
1,"Ambuscade Shaman",,,"","","","","","",""
1,"Aminatou, the Fateshifter",,,"","C18","","","","",""
1,"Aminatou's Augury",,,"","","","","","",""
1,"Ampryn Tactician",,,"","","","","","",""
1,"Amulet of Vigor",,,"","","","","","",""
1,"Anaba Shaman",,,"","","","","","",""
1,"Anathemancer",,,"","","","","","",""
1,"Anax and Cymede",,,"","","","","","",""
1,"Anax, Hardened in the Forge",,,"","","","","","",""
1,"Ancestor's Chosen",,,"","","","","","",""
1,"Ancestral Blade",,,"","","","","","",""
1,"Ancestral Blade",,,"","ELD","","","","",""
1,"Ancient Amphitheater",,,"","","","","","",""
1,"Ancient Animus",,,"","","","","","",""
5,"Ancient Den",,,"","","","","","",""
1,"Ancient Excavation",,,"","","","","","",""
1,"Ancient Grudge",,,"","","","","","",""
1,"Ancient Stirrings",,,"","","","","","",""
1,"Ancient Stone Idol",,,"","","","","","",""
1,"Ancient Tomb",,,"","","","","","",""
1,"Angel of Despair",,,"","GPT","","","","",""
1,"Angel of Finality",,,"","C20","","","","",""
1,"Angel of Finality",,,"","","","","","",""
1,"Angel of Sanctions",,,"","","","","","",""
1,"Angel of Serenity",,,"","","","","","",""
1,"Angel of the Dawn",,,"","","","","","",""
1,"Angelic Ascension",,,"","","","","","",""
1,"Angelic Chorus",,,"","","","","","",""
1,"Angelic Exaltation",,,"","ELD","","","","",""
3,"Angelic Gift",,,"","","","","","",""
1,"Angelic Purge",,,"","","","","","",""
2,"Angelic Renewal",,,"","","","","","",""
1,"Angelsong",,,"","","","","","",""
5,"Anger",,,"","","","","","",""
1,"Angler Turtle",,,"","","","","","",""
1,"Angrath, Captain of Chaos",,,"","","","","","",""
1,"Angrath's Marauders",,,"","","","","","",""
1,"Angrath's Rampage",,,"","","","","","",""
1,"Animar, Soul of Elements",,,"","","","","","",""
2,"Animate Dead",,,"","","","","","",""
1,"Animate Library",,,"","","","","","",""
1,"Animating Faerie // Bring to Life",,,"","ELD","","","","",""
1,"Animist's Awakening",,,"","C20","","","","",""
1,"Animist's Awakening",,,"","","","","","",""
1,"Anje Falkenrath",,,"","","","","","",""
1,"Anje's Ravager",,,"","","","","","",""
1,"Ankh of Mishra",,,"","","","","","",""
2,"Annihilate",,,"","","","","","",""
1,"Annihilating Fire",,,"","","","","","",""
1,"Anointed Chorister",,,"","","","","","",""
3,"Anointer Priest",,,"","","","","","",""
2,"Anowon, the Ruin Sage",,,"","","","","","",""
1,"Answered Prayers",,,"","","","","","",""
1,"Anthem of Rakdos",,,"","","","","","",""
1,"Anticipate",,,"","","","","","",""
1,"Anvilwrought Raptor",,,"","","","","","",""
1,"Anya, Merciless Angel",,,"","","","","","",""
1,"Apex Altisaur",,,"","","","","","",""
1,"Apex Hawks",,,"","","","","","",""
1,"Apex of Power",,,"","","","","","",""
1,"Aphemia, the Cacophony",,,"","","","","","",""
1,"Aphotic Wisps",,,"","","","","","",""
1,"Apocalypse Demon",,,"","","","","","",""
1,"Apocalypse Hydra",,,"","","","","","",""
9,"Apostle's Blessing",,,"","","","","","",""
1,"Apothecary Geist",,,"","","","","","",""
1,"Appeal // Authority",,,"","","","","","",""
1,"Appetite for the Unnatural",,,"","","","","","",""
2,"Applied Biomancy",,,"","","","","","",""
1,"Apprentice Necromancer",,,"","","","","","",""
1,"Apprentice Wizard",,,"","","","","","",""
2,"Approach of the Second Sun",,,"","","","","","",""
1,"Aquastrand Spider",,,"","","","","","",""
1,"Aquatic Incursion",,,"","","","","","",""
1,"Arachnus Spinner",,,"","","","","","",""
1,"Arachnus Web",,,"","","","","","",""
1,"Arahbo, Roar of the World",,,"","","","","","",""
1,"Arashin Foremost",,,"","","","","","",""
1,"Arashin Sovereign",,,"","","","","","",""
1,"Arasta of the Endless Web",,,"","","","","","",""
1,"Arbiter of Knollridge",,,"","","","","","",""
1,"Arbor Armament",,,"","","","","","",""
2,"Arbor Elf",,,"","","","","","",""
2,"Arboreal Grazer",,,"","","","","","",""
1,"Arcane Adaptation",,,"","","","","","",""
1,"Arcane Artisan",,,"","","","","","",""
4,"Arcane Denial",,,"","","","","","(Sword)",""
1,"Arcane Encyclopedia",,,"","","","","","",""
1,"Arcane Laboratory",,,"","","","","","",""
2,"Arcane Lighthouse",,,"","","","","","",""
3,"Arcane Sanctum",,,"","","","","","",""
1,"Arcane Signet",,,"","C20","","","","",""
1,"Arcane Signet",,,"","ELD","","","","",""
1,"Arcane Teachings",,,"","","","","","",""
2,"Arcanis the Omnipotent",,,"","","","","","",""
1,"Arcanist's Owl",,,"","ELD","","","","",""
2,"Arcbond",,,"","","","","","",""
1,"Arch of Orazca",,,"","","","","","",""
1,"Archaeomancer",,,"","","","","","",""
1,"Archangel of Strife",,,"","","","","","",""
1,"Archetype of Courage",,,"","","","","","",""
3,"Archetype of Endurance",,,"","","","","","",""
1,"Archetype of Finality",,,"","","","","","",""
1,"Archetype of Imagination",,,"","","","","","",""
1,"Archfiend of Spite",,,"","","","","","",""
1,"Archfiend's Vessel",,,"","","","","","",""
1,"Architect of the Untamed",,,"","","","","","",""
1,"Archon of Falling Stars",,,"","","","","","",""
1,"Archon of Sun's Grace",,,"","","","","","",""
1,"Archon of the Triumvirate",,,"","","","","","",""
1,"Archon of Valor's Reach",,,"","C20","","","","",""
1,"Archweaver",,,"","","","","","",""
1,"Arcum's Astrolabe",,,"","","","","","",""
1,"Ardenvale Paladin",,,"","","","","","",""
2,"Arena Athlete",,,"","","","","","",""
1,"Arena Trickster",,,"","","","","","",""
1,"Argentum Armor",,,"","","","","","",""
1,"Argivian Restoration",,,"","","","","","",""
1,"Arguel's Blood Fast // Temple of Aclazotz",,,"","","","","","",""
1,"Arid Mesa",,,"","","","","","",""
1,"Arixmethes, Slumbering Isle",,,"","","","","","",""
1,"Arlinn, Voice of the Pack",,,"","","","","","",""
1,"Arlinn's Wolf",,,"","","","","","",""
1,"Armada Wurm",,,"","","","","","",""
1,"Armadillo Cloak",,,"","","","","","",""
1,"Armament Corps",,,"","","","","","",""
1,"Armament of Nyx",,,"","","","","","",""
3,"Armillary Sphere",,,"","","","","","",""
1,"Armistice",,,"","","","","","",""
1,"Armored Ascension",,,"","","","","","",""
1,"Armored Transport",,,"","","","","","",""
1,"Armory Automaton",,,"","","","","","",""
2,"Army of the Damned",,,"","","","","","",""
3,"Arrest",,,"","","","","","",""
2,"Arrester's Zeal",,,"","","","","","",""
1,"Arrow Storm",,,"","","","","","",""
1,"Arterial Flow",,,"","","","","","",""
1,"Artful Maneuver",,,"","","","","","",""
1,"Artful Takedown",,,"","","","","","",""
1,"Artifact Mutation",,,"","C20","","","","",""
3,"Artificer's Assistant",,,"","","","","","",""
3,"Artisan of Kozilek",,,"","","","","","",""
1,"Artisan's Sorrow",,,"","","","","","",""
1,"Aryel, Knight of Windgrace",,,"","","","","","",""
1,"As Foretold",,,"","","","","","",""
1,"Asceticism",,,"","","","","","",""
1,"Ash Barrens",,,"","C20","","","","",""
6,"Ash Barrens",,,"","","","","","",""
1,"Ashes of the Abhorrent",,,"","","","","","",""
1,"Ashiok, Dream Render",,,"","","","","","",""
1,"Ashiok's Skulker",,,"","","","","","",""
2,"Ashnod's Altar",,,"","","","","","",""
2,"Aspect of Lamprey",,,"","","","","","",""
1,"Aspect of Manticore",,,"","","","","","",""
1,"Aspect of Mongoose",,,"","","","","","",""
3,"Assassin's Strike",,,"","","","","","",""
4,"Assassinate",,,"","","","","","",""
2,"Assault Formation",,,"","","","","","",""
1,"Assault Strobe",,,"","","","","","",""
1,"Assault Suit",,,"","","","","","",""
1,"Assemble the Legion",,,"","","","","","",""
